,NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
1,2024005245,2024-03-29 8:34,2024,3,29,광주지사,도로안전팀,유지보수,동림IC(80.45),노면파임,포장 보수요청,호남선(80.45),    호남선80.4    ,호남선,80.4,35.19276,126.8612,안전신문고,시설환경
2,2024005244,2024-03-29 8:32,2024,3,29,광주지사,도로안전팀,유지보수,공통,기타시설물,배수로 설치요청,호남선(68.3),    호남선68.3    ,호남선,68.3,35.22393,126.9575,홈페이지(전자민원),시설환경
3,2024005242,2024-03-29 8:27,2024,3,29,광주지사,도로안전팀,유지보수,용봉IC(77.03),노면파임,포트홀 보수요청,호남선(77.03),    호남선77    ,호남선,77,35.18446,126.8952,안전신문고,시설환경
4,2024005177,2024-03-27 15:58,2024,3,27,광주전남본부,고객팀,용지,공통,토지보상,토지보상 절차 문의,서해안선(46.5),    서해안선46.5    ,서해안선,46.5,35.21246,126.4904,문서,기타요인
5,2024005113,2024-03-27 9:18,2024,3,27,보성지사,도로안전팀,유지보수,공통,노면파임,도로파손 보수요청,남해선(0.4),    남해선(영암순천)0.4    ,남해선(영암순천),0.4,34.75375,126.5298,안전신문고,시설환경
6,2024005094,2024-03-27 8:53,2024,3,27,광주지사,도로안전팀,유지보수,이정입력,안전시설,태양광판넬 설치 방향 문의,호남선(107.8),    호남선107.8    ,호남선,107.8,35.40414,126.8056,안전신문고,시설환경
7,2024005092,2024-03-27 8:51,2024,3,27,광주지사,도로안전팀,유지보수,이정입력,안전시설,안개표시 점멸등 오류,호남선(98.2),    호남선98.2    ,호남선,98.2,35.32469,126.7989,안전신문고,시설환경
8,2024005088,2024-03-27 8:49,2024,3,27,광주지사,도로안전팀,유지보수,동림IC(80.45),노면파임,도로파손 보수요청,호남선(80.45),    호남선80.4    ,호남선,80.4,35.19276,126.8612,안전신문고,시설환경
9,2024005008,2024-03-25 17:57,2024,3,25,광주지사,도로안전팀,유지보수,공통,안전시설,가드레일 보수요청,호남선(84.9),    호남선84.9    ,호남선,84.9,35.21877,126.8276,안전신문고,시설환경
10,2024004990,2024-03-25 16:51,2024,3,25,광주전남본부,고객팀,용지,공통,토지보상,토지보상 문의,남해선(54.8),    남해선(영암순천)54.8    ,남해선(영암순천),54.8,34.79275,127.0473,국민신문고,기타요인
11,2024004953,2024-03-25 13:58,2024,3,25,보성지사,고객지원팀,영업,공통,기타,휴게소 취식행위 단속 요청,남해선(63),    남해선(영암순천)63    ,남해선(영암순천),63,34.81318,127.1268,안전신문고,기타요인
12,2024004936,2024-03-25 10:54,2024,3,25,보성지사,도로안전팀,유지보수,벌교대교(87.821),안전시설,강속풍속계 수리요청,남해선(87.82),    남해선(영암순천)87.8    ,남해선(영암순천),87.8,34.82388,127.3827,안전신문고,시설환경
13,2024004931,2024-03-25 10:40,2024,3,25,광주지사,도로안전팀,유지보수,공통,기타,도로 청소 요청,호남선(74.6),    호남선74.6    ,호남선,74.6,35.18168,126.9214,안전신문고,시설환경
14,2024004930,2024-03-25 10:39,2024,3,25,광주지사,도로안전팀,유지보수,공통,기타,도로 청소 요청,호남선(76.4),    호남선76.4    ,호남선,76.4,35.18413,126.9018,안전신문고,시설환경
15,2024004929,2024-03-25 10:35,2024,3,25,광주지사,도로안전팀,기타,공통,기타,무단경작 단속 요청,호남선(64.6),    호남선64.6    ,호남선,64.6,35.22873,126.9959,안전신문고,고객요인
16,2024004862,2024-03-22 8:47,2024,3,22,광주지사,도로안전팀,유지보수,공통,안전시설,전방추돌 알림시설 수리요청,호남선(73.5),    호남선73.5    ,호남선,73.5,35.18769,126.9286,안전신문고,시설환경
17,2024004860,2024-03-22 8:46,2024,3,22,광주지사,도로안전팀,유지보수,공통,안전시설,전방추돌 알림시설 수리요청,호남선(73.5),    호남선73.5    ,호남선,73.5,35.18769,126.9286,안전신문고,시설환경
18,2024004842,2024-03-22 8:17,2024,3,22,광주지사,도로안전팀,유지보수,공통,기타,도로 청소 요청,호남선(75),    호남선75    ,호남선,75,35.18248,126.9171,안전신문고,시설환경
19,2024004838,2024-03-21 18:04,2024,3,21,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,남해선(15.25),    남해선(순천부산)15.2    ,남해선(순천부산),15.2,34.96282,127.626,안전신문고,시설환경
20,2024004819,2024-03-21 16:04,2024,3,21,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(70.8),    호남선70.8    ,호남선,70.8,35.2078,126.9396,홈페이지(전자민원),시설환경
21,2024004768,2024-03-20 17:30,2024,3,20,광주지사,도로안전팀,유지보수,공통,전광판,전방추돌 알림시설 수리요청,호남선(73.5),    호남선73.5    ,호남선,73.5,35.18769,126.9286,안전신문고,시설환경
22,2024004766,2024-03-20 17:25,2024,3,20,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(70.9),    호남선70.9    ,호남선,70.9,35.20738,126.9387,안전신문고,시설환경
23,2024004763,2024-03-20 17:24,2024,3,20,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(80),    호남선80    ,호남선,80,35.19292,126.8656,안전신문고,시설환경
24,2024004759,2024-03-20 17:21,2024,3,20,담양지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,고창담양선(31.4),    고창담양선31.4    ,고창담양선,31.4,35.2514,126.9167,안전신문고,시설환경
25,2024004758,2024-03-20 17:21,2024,3,20,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(80.6),    호남선80.6    ,호남선,80.6,35.19267,126.859,안전신문고,시설환경
26,2024004725,2024-03-20 13:31,2024,3,20,구례지사,도로안전팀,유지보수,공통,기타,도로 청소 요청,순천완주선(5.6),    순천완주선5.6    ,순천완주선,5.6,34.99093,127.5391,홈페이지(전자민원),시설환경
